Trajectory_ID,Timestamp,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Cartesian_x,Cartesian_y,Cartesian_z,Cartesian_rx,Cartesian_ry,Cartesian_rz,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6
2,1735835727.1831243,-2.2758764968835434,-2.039246963973957,-1.2146211765274444,-1.3966828168717846,1.478321487399173,0.04890664825065367,-0.37373232341239926,-0.22383240713396108,0.2590185337016047,-1.120879320605642,-2.819204961860483,0.04359440613851718,-0.043101294287988985,2.1473291554674017,2.068448291844117,0.9616300642223029,-0.08217991741323348,-0.007278609688641037,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.2836888,-2.283096256171305,-2.060114963973957,-1.2012465608218674,-1.391808051218736,1.479709644822675,0.04215922028624808,-0.3779219995572335,-0.22431480191935876,0.25484049988314356,-1.1220652627172485,-2.8209147505176757,0.03941958651471095,-0.04630582563925213,2.1756981031287084,2.062351427288968,0.9573210266613829,-0.08162154131945555,-0.007276111376800472,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.3843415,-2.2926517466697027,-2.0877341639739573,-1.1835449992876788,-1.3853562049697095,1.4815468979140678,0.03322886939327746,-0.383443834862604,-0.2248055949450241,0.24917042218386953,-1.1236591993402039,-2.8232130747975677,0.03395445345662318,-0.050597289106448874,2.2125923288263425,2.0541539049016104,0.9515874058666548,-0.08086035378159938,-0.007272875676254593,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.4849055,-2.3068180851640685,-2.1286805639739574,-1.157301834416737,-1.3757911242558896,1.484270687885588,0.01998932154960594,-0.39156847832914693,-0.2252196296523367,0.24047544004962274,-1.1260730769945393,-2.8266938934681494,0.025980790384332927,-0.057035382653050755,2.265859535798844,2.0417408741829366,0.9430313277054944,-0.07968160559705663,-0.007268227392544474,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.5852225,-2.3229921727047604,-2.1754301639739575,-1.1273393112046692,-1.3648704157848446,1.487380511744403,0.00487337568202037,-0.40073013663900575,-0.22522792515359122,0.2301369600157283,-1.1289029342819008,-2.830773963730068,0.017068809257821754,-0.0644402411549144,2.3244748081796875,2.0272058171869602,0.933196745830599,-0.07825536709820319,-0.0072631378839742855,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.6855974,-2.3422368375710585,-2.231054963973958,-1.0916885385527832,-1.3518764602309954,1.4910807215896598,-0.013112264103031457,-0.41142961031131514,-0.22458379857800126,0.21728427058404037,-1.1323720377866409,-2.8357733189255967,0.00673819469464795,-0.07322720807211826,2.3909698675498934,2.0094367244498503,0.9214307774393302,-0.07643476963306262,-0.007257384900078447,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.786166,-2.36209530422052,-2.288453897307291,-1.0549006971092654,-1.3384680670579572,1.4948989483199533,-0.03167154951133089,-0.4221865392708914,-0.2231662276694806,0.20342003352244645,-1.1360672165829615,-2.8410937836852153,-0.0036018193592870693,-0.021333151988128445,2.6104004201894986,2.0278798685741077,0.927536341644906,-0.06249909146923842,1.4351826608857028e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.886698,-2.3834072254456564,-2.350053897307291,-1.0154203287240096,-1.324078304539853,1.4989966336413891,-0.05158920154350355,-0.4333430215335591,-0.22078929474679718,0.18789647094099227,-1.1401622590899367,-2.8469822220492618,-0.014326100805551415,-0.02107824536224739,2.682302506828123,2.0177249898250476,0.9216970859536046,-0.05903667655550542,1.3815906733023145e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835727.9869654,-2.4052035085168186,-2.4130538973072913,-0.9750426792390892,-1.3093615019645188,1.5031874481746759,-0.0719595274854985,-0.44426331913776984,-0.2174424323584807,0.17137167809981335,-1.1444877583040192,-2.8531909461475804,-0.02488308614143809,-0.020651556335959397,2.7504052061383804,2.0065546552134657,0.9157099375705887,-0.05546983487574169,1.3267061592863668e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835728.0874934,-2.4279685152800323,-2.478853897307291,-0.9328704675548387,-1.2939906192747248,1.5075645211316644,-0.09323520124713802,-0.45505703117166596,-0.21296515953977757,0.15346251413448414,-1.14915240622632,-2.8598713083612783,-0.03545183402266604,-0.0200307244220606,2.8153478568446784,1.994045789785334,0.9094410958423212,-0.05171838026242316,1.2693098713408689e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835728.1877549,-2.4492804365051684,-2.540453897307291,-0.8933900991695838,-1.2796008567566197,1.5116622064531002,-0.11315285327931068,-0.46451955597488614,-0.20787771161054416,0.13614359894748362,-1.1536539438130353,-2.866301045137089,-0.044909751816971794,-0.019292984921112415,2.870140569058381,1.9815606478618069,0.903558546389282,-0.048183884759565226,1.2155174928151613e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835728.288731,-2.4681705485001753,-2.595053897307291,-0.8583961362826527,-1.2668462945246635,1.515294245715282,-0.13080713576237368,-0.4723306590584844,-0.20265887943795519,0.1203853501267681,-1.1577516409740631,-2.872137857818097,-0.052930483285469614,-0.01851833551694133,2.9136560430696834,1.9698720938708525,0.8983336315145337,-0.045034196464777965,1.167795369996683e-05,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835728.3889306,-2.4904390697384686,-2.6594188550127935,-0.8171436648327397,-1.2518106377735272,1.5195758584166565,-0.15161880509100456,-0.48077747846235563,-0.1956737340298859,0.10136647881183876,-1.1627107191290436,-2.8791793048981558,-0.0619366218063146,0.055931701270151575,3.1265499668387093,2.0020668771419197,0.9180163268131311,-0.02841578105473279,0.00726937102432101,0.0,0.0,0.0,0.0,0.0,0.0
2,1735835728.4894629,-2.5090510411854066,-2.713214917273906,-0.7826649577589597,-1.2392438754302386,1.523154419044553,-0.16901314354584152,-0.4871550050272646,-0.18916675737480346,0.08514388843655707,-1.1669609792377436,-2.885193441481608,-0.0690819064086279,0.06347083700267797,3.1646656546868885,1.997589419975607,0.9187617864406129,-0.02488503314496946,0.007264674460906242,0.0,0.0,0.0,0.0,0.0,0.0
